Assessment Name,Short Description,URL,text_for_embedding,assessment_type
Microsoft Word 365 - Essentials (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,Microsoft Word 365 - Essentials (New). Assessment for evaluating specific skills and competencies,General
Food and Beverage Services (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,Food and Beverage Services (New). Assessment for evaluating specific skills and competencies,General
Biochemistry (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/biochemistry-new/,Biochemistry (New). Assessment for evaluating specific skills and competencies,General
R Programming (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/r-programming-new/,R Programming (New). Assessment for evaluating specific skills and competencies,Technical Skills
Verify - Inductive Reasoning (2014),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,Verify - Inductive Reasoning (2014). Assessment for evaluating specific skills and competencies,Cognitive
Workplace Administration Skills (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,Workplace Administration Skills (New). Assessment for evaluating specific skills and competencies,General
Entry Level Technical Support Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,Entry Level Technical Support Solution. Assessment for evaluating specific skills and competencies,Technical Skills
Graduate Scenarios Profile Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Graduate Scenarios Profile Report. Assessment for evaluating specific skills and competencies,General
Verify - Following Instructions,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,Verify - Following Instructions. Assessment for evaluating specific skills and competencies,Cognitive
MS Access (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-access-new/,MS Access (New). Assessment for evaluating specific skills and competencies,General
SHL Verify Interactive – Numerical Reasoning,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,SHL Verify Interactive – Numerical Reasoning. Assessment for evaluating specific skills and competencies,Cognitive
HTML/CSS (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/htmlcss-new/,HTML/CSS (New). Assessment for evaluating specific skills and competencies,General
Microsoft Word 365 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,Microsoft Word 365 (New). Assessment for evaluating specific skills and competencies,General
Shell Scripting (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shell-scripting-new/,Shell Scripting (New). Assessment for evaluating specific skills and competencies,General
Angular 6 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/angular-6-new/,Angular 6 (New). Assessment for evaluating specific skills and competencies,General
Industrial Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,Industrial Engineering (New). Assessment for evaluating specific skills and competencies,General
Entry Level Hotel Front Desk Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Entry Level Hotel Front Desk Solution. Assessment for evaluating specific skills and competencies,General
Mechatronics Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,Mechatronics Engineering (New). Assessment for evaluating specific skills and competencies,General
Search Engine Optimization (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,Search Engine Optimization (New). Assessment for evaluating specific skills and competencies,General
Mechanical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,Mechanical Engineering (New). Assessment for evaluating specific skills and competencies,General
SVAR - Spoken English (AUS),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,SVAR - Spoken English (AUS). Assessment for evaluating specific skills and competencies,General
Graduate Scenarios Narrative Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Graduate Scenarios Narrative Report. Assessment for evaluating specific skills and competencies,General
Tableau (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/tableau-new/,Tableau (New). Assessment for evaluating specific skills and competencies,General
Linux Administration (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/linux-administration-new/,Linux Administration (New). Assessment for evaluating specific skills and competencies,General
SVAR - Spoken Spanish (North American) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,SVAR - Spoken Spanish (North American) (New). Assessment for evaluating specific skills and competencies,General
Job Control Language (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/job-control-language-new/,Job Control Language (New). Assessment for evaluating specific skills and competencies,Language
Automotive Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,Automotive Engineering (New). Assessment for evaluating specific skills and competencies,General
MFS 360 UCF Standard Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,MFS 360 UCF Standard Report. Assessment for evaluating specific skills and competencies,General
Verify - Verbal Ability - Next Generation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,Verify - Verbal Ability - Next Generation. Assessment for evaluating specific skills and competencies,Cognitive
C Programming (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/c-programming-new/,C Programming (New). Assessment for evaluating specific skills and competencies,Technical Skills
OPQ Team Impact Group Development Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,OPQ Team Impact Group Development Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
RemoteWorkQ,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/remoteworkq/,RemoteWorkQ. Assessment for evaluating specific skills and competencies,General
Mobility (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mobility-new/,Mobility (New). Assessment for evaluating specific skills and competencies,General
Computer Science (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/computer-science-new/,Computer Science (New). Assessment for evaluating specific skills and competencies,General
Typing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/typing-new/,Typing (New). Assessment for evaluating specific skills and competencies,General
Geoscience Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,Geoscience Engineering (New). Assessment for evaluating specific skills and competencies,General
Management Scenarios,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/management-scenarios/,Management Scenarios. Assessment for evaluating specific skills and competencies,General
Filing - Numbers,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/filing-numbers/,Filing - Numbers. Assessment for evaluating specific skills and competencies,General
Basic Biology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/basic-biology-new/,Basic Biology (New). Assessment for evaluating specific skills and competencies,General
Marketing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/marketing-new/,Marketing (New). Assessment for evaluating specific skills and competencies,General
Sales Transformation Report 1.0 - Sales Manager,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,Sales Transformation Report 1.0 - Sales Manager. Assessment for evaluating specific skills and competencies,General
Project Management (2013),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/project-management-2013/,Project Management (2013). Assessment for evaluating specific skills and competencies,General
Linux Operating System,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/linux-operating-system/,Linux Operating System. Assessment for evaluating specific skills and competencies,General
Motivation Questionnaire MQM5,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,Motivation Questionnaire MQM5. Assessment for evaluating specific skills and competencies,General
Housekeeping (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/housekeeping-new/,Housekeeping (New). Assessment for evaluating specific skills and competencies,General
Agile Testing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/agile-testing-new/,Agile Testing (New). Assessment for evaluating specific skills and competencies,General
Ceramic Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Ceramic Engineering (New). Assessment for evaluating specific skills and competencies,General
HIPAA (Security),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/hipaa-security/,HIPAA (Security). Assessment for evaluating specific skills and competencies,General
UNIX (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/unix-new/,UNIX (New). Assessment for evaluating specific skills and competencies,General
MQ Employee Motivation Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,MQ Employee Motivation Report. Assessment for evaluating specific skills and competencies,General
Reading Comprehension - Spanish v1,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,Reading Comprehension - Spanish v1. Assessment for evaluating specific skills and competencies,Language
SAP Business Objects WebI (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,SAP Business Objects WebI (New). Assessment for evaluating specific skills and competencies,General
Production and Industrial Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,Production and Industrial Engineering (New). Assessment for evaluating specific skills and competencies,General
Agency Manager Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution. Assessment for evaluating specific skills and competencies,General
ITIL (IT Infrastructure Library) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,ITIL (IT Infrastructure Library) (New). Assessment for evaluating specific skills and competencies,General
Python (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/python-new/,Python (New). Assessment for evaluating specific skills and competencies,Technical Skills
OPQ Universal Competency Report 1.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,OPQ Universal Competency Report 1.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
Accounts Payable (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Accounts Payable (New). Assessment for evaluating specific skills and competencies,General
Telecommunications Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,Telecommunications Engineering (New). Assessment for evaluating specific skills and competencies,General
MS Office Basic Computer Literacy (Sim) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,MS Office Basic Computer Literacy (Sim) (New). Assessment for evaluating specific skills and competencies,General
Chemical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Chemical Engineering (New). Assessment for evaluating specific skills and competencies,General
OPQ Team Types and Leadership Styles Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,OPQ Team Types and Leadership Styles Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Microsoft Dynamics Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,Microsoft Dynamics Development (New). Assessment for evaluating specific skills and competencies,General
Accounts Receivable (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New). Assessment for evaluating specific skills and competencies,General
Bank Operations Supervisor - Short Form,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form. Assessment for evaluating specific skills and competencies,General
Electronics & Telecommunications Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Electronics & Telecommunications Engineering (New). Assessment for evaluating specific skills and competencies,General
PJM Development Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pjm-development-report/,PJM Development Report. Assessment for evaluating specific skills and competencies,General
Verify - Working with Information,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,Verify - Working with Information. Assessment for evaluating specific skills and competencies,Cognitive
Microsoft Windows Server 2012 Administration,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,Microsoft Windows Server 2012 Administration. Assessment for evaluating specific skills and competencies,General
Data Entry Numeric Split Screen - US,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,Data Entry Numeric Split Screen - US. Assessment for evaluating specific skills and competencies,General
Microservices (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microservices-new/,Microservices (New). Assessment for evaluating specific skills and competencies,General
MQ Candidate Motivation Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,MQ Candidate Motivation Report. Assessment for evaluating specific skills and competencies,General
Manual Testing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/manual-testing-new/,Manual Testing (New). Assessment for evaluating specific skills and competencies,General
Managerial Scenarios Profile Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,Managerial Scenarios Profile Report. Assessment for evaluating specific skills and competencies,General
MQ Motivation Report Pack,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,MQ Motivation Report Pack. Assessment for evaluating specific skills and competencies,General
Verify - Numerical Ability,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,Verify - Numerical Ability. Assessment for evaluating specific skills and competencies,Cognitive
VB.NET (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/vb-net-new/,VB.NET (New). Assessment for evaluating specific skills and competencies,Technical Skills
Data Entry Ten Key Split Screen,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen. Assessment for evaluating specific skills and competencies,General
Prism (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/prism-new/,Prism (New). Assessment for evaluating specific skills and competencies,General
Microsoft Excel 365 - Essentials (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,Microsoft Excel 365 - Essentials (New). Assessment for evaluating specific skills and competencies,General
MS Office Basic Computer Literacy (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,MS Office Basic Computer Literacy (New). Assessment for evaluating specific skills and competencies,General
Verify G+ - Candidate Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,Verify G+ - Candidate Report. Assessment for evaluating specific skills and competencies,Cognitive
Written Spanish,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/written-spanish/,Written Spanish. Assessment for evaluating specific skills and competencies,General
Data Entry Alphanumeric Split Screen - US,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Data Entry Alphanumeric Split Screen - US. Assessment for evaluating specific skills and competencies,General
Fundamentals of Physics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,Fundamentals of Physics (New). Assessment for evaluating specific skills and competencies,General
Jenkins (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/jenkins-new/,Jenkins (New). Assessment for evaluating specific skills and competencies,General
PJM Selection Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,PJM Selection Report. Assessment for evaluating specific skills and competencies,General
Pharmaceutical Science (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,Pharmaceutical Science (New). Assessment for evaluating specific skills and competencies,General
RESTful Web Services (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/restful-web-services-new/,RESTful Web Services (New). Assessment for evaluating specific skills and competencies,General
Apache HBase (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Apache HBase (New). Assessment for evaluating specific skills and competencies,General
JavaScript (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/javascript-new/,JavaScript (New). Assessment for evaluating specific skills and competencies,Technical Skills
Amazon Web Services (AWS) Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Amazon Web Services (AWS) Development (New). Assessment for evaluating specific skills and competencies,General
Sales Profiler Cards,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,Sales Profiler Cards. Assessment for evaluating specific skills and competencies,General
Executive Scenarios Narrative Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Executive Scenarios Narrative Report. Assessment for evaluating specific skills and competencies,General
Automata (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-new/,Automata (New). Assessment for evaluating specific skills and competencies,General
Docker (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/docker-new/,Docker (New). Assessment for evaluating specific skills and competencies,General
SonarQube (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sonarqube-new/,SonarQube (New). Assessment for evaluating specific skills and competencies,General
Sales Transformation 2.0 - Individual Contributor,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Sales Transformation 2.0 - Individual Contributor. Assessment for evaluating specific skills and competencies,General
Pega Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pega-development-new/,Pega Development (New). Assessment for evaluating specific skills and competencies,General
Java Frameworks (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-frameworks-new/,Java Frameworks (New). Assessment for evaluating specific skills and competencies,Technical Skills
Power System Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,Power System Engineering (New). Assessment for evaluating specific skills and competencies,General
SVAR - Spoken Spanish (Castilian) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,SVAR - Spoken Spanish (Castilian) (New). Assessment for evaluating specific skills and competencies,General
Operations Management (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/operations-management-new/,Operations Management (New). Assessment for evaluating specific skills and competencies,General
SHL Verify Interactive G+,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,SHL Verify Interactive G+. Assessment for evaluating specific skills and competencies,Cognitive
Customer Service Phone Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Customer Service Phone Solution. Assessment for evaluating specific skills and competencies,General
Accounts Payable Simulation (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New). Assessment for evaluating specific skills and competencies,Simulation
Informatica (Developer) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/informatica-developer-new/,Informatica (Developer) (New). Assessment for evaluating specific skills and competencies,General
OPQ Manager Plus Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,OPQ Manager Plus Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Smart Interview On Demand,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,Smart Interview On Demand. Assessment for evaluating specific skills and competencies,General
Drupal (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/drupal-new/,Drupal (New). Assessment for evaluating specific skills and competencies,General
Production Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/production-engineering-new/,Production Engineering (New). Assessment for evaluating specific skills and competencies,General
Aerospace Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Aerospace Engineering (New). Assessment for evaluating specific skills and competencies,General
Automata Data Science Pro (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Automata Data Science Pro (New). Assessment for evaluating specific skills and competencies,General
ADO.NET (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ado-net-new/,ADO.NET (New). Assessment for evaluating specific skills and competencies,Technical Skills
MongoDB (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mongodb-new/,MongoDB (New). Assessment for evaluating specific skills and competencies,General
C++ Programming (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,C++ Programming (New). Assessment for evaluating specific skills and competencies,Technical Skills
Power Electronics and Drives (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,Power Electronics and Drives (New). Assessment for evaluating specific skills and competencies,General
HiPo Unlocking Potential Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,HiPo Unlocking Potential Report 2.0. Assessment for evaluating specific skills and competencies,General
Data Entry (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-entry-new/,Data Entry (New). Assessment for evaluating specific skills and competencies,General
GIT (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/git-new/,GIT (New). Assessment for evaluating specific skills and competencies,General
MFS 360 Enterprise Leadership Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,MFS 360 Enterprise Leadership Report. Assessment for evaluating specific skills and competencies,General
Java 8 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-8-new/,Java 8 (New). Assessment for evaluating specific skills and competencies,Technical Skills
MFS 360 UCF Performance Potential Dev Tips Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,MFS 360 UCF Performance Potential Dev Tips Report. Assessment for evaluating specific skills and competencies,General
VLSI and Embedded Systems (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,VLSI and Embedded Systems (New). Assessment for evaluating specific skills and competencies,General
360 Digital Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/360-digital-report/,360 Digital Report. Assessment for evaluating specific skills and competencies,General
SVAR - Spoken English (U.K.),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,SVAR - Spoken English (U.K.). Assessment for evaluating specific skills and competencies,General
Following Instructions v1 - US (R2),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,Following Instructions v1 - US (R2). Assessment for evaluating specific skills and competencies,General
Selenium (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/selenium-new/,Selenium (New). Assessment for evaluating specific skills and competencies,General
Node.js (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/node-js-new/,Node.js (New). Assessment for evaluating specific skills and competencies,General
Linux Programming (General),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/linux-programming-general/,Linux Programming (General). Assessment for evaluating specific skills and competencies,Technical Skills
Instrumentation Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,Instrumentation Engineering (New). Assessment for evaluating specific skills and competencies,General
RemoteWorkQ Manager Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,RemoteWorkQ Manager Report. Assessment for evaluating specific skills and competencies,General
Verify - G+,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-g/,Verify - G+. Assessment for evaluating specific skills and competencies,Cognitive
ASP.NET 4.5,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,ASP.NET 4.5. Assessment for evaluating specific skills and competencies,Technical Skills
Managerial Scenarios Narrative Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Managerial Scenarios Narrative Report. Assessment for evaluating specific skills and competencies,General
Automation Anywhere RPA Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,Automation Anywhere RPA Development (New). Assessment for evaluating specific skills and competencies,General
AI Skills,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills. Assessment for evaluating specific skills and competencies,General
Biotech Lab Techniques (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,Biotech Lab Techniques (New). Assessment for evaluating specific skills and competencies,General
Apprentice + 8.0 Job Focused Assessment,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Apprentice + 8.0 Job Focused Assessment. Assessment for evaluating specific skills and competencies,General
OPQ UCF Development Action Planner Report 1.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,OPQ UCF Development Action Planner Report 1.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
MFS 360 UCF Group Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,MFS 360 UCF Group Report. Assessment for evaluating specific skills and competencies,General
IBM Sterling Order Management System (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,IBM Sterling Order Management System (New). Assessment for evaluating specific skills and competencies,General
Microsoft Outlook 2013 (adaptive),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Microsoft Outlook 2013 (adaptive). Assessment for evaluating specific skills and competencies,General
OPQ Manager Plus Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,OPQ Manager Plus Report 2.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
Data Warehousing Concepts,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,Data Warehousing Concepts. Assessment for evaluating specific skills and competencies,General
Microsoft PowerPoint 365 - Essentials (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Microsoft PowerPoint 365 - Essentials (New). Assessment for evaluating specific skills and competencies,General
Spring (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/spring-new/,Spring (New). Assessment for evaluating specific skills and competencies,General
